i,url,fecha
21,https://es.cointelegraph.com/news/what-are-the-next-steps-in-the-cryptocurrency-universe,15.07.2022 01:05
22,https://es.cointelegraph.com/news/bitcoin-derivatives-data-suggests-bears-will-pin-btc-below-21k-leading-in-friday-s-options-expiry,15.07.2022 00:35
23,https://es.cointelegraph.com/news/bitfinex-donates-36-btc-to-salvadoran-businesses-to-support-economic-development,14.07.2022 22:05
24,https://es.cointelegraph.com/news/bitcoin-analysts-weigh-sub-17-5k-dip-after-weak-btc-price-bounce,14.07.2022 20:35
25,https://es.cointelegraph.com/news/will-ethereum-ever-surpass-bitcoin-crypto-community-answers,14.07.2022 19:05
26,https://es.cointelegraph.com/news/bitcoin-trading-volumes-post-new-high-in-philippines-peso-on-paxful,14.07.2022 18:35
27,https://es.cointelegraph.com/news/south-african-exchanges-welcome-the-new-crypto-is-financial-asset-ruling,14.07.2022 18:05
28,https://es.cointelegraph.com/news/bitcoin-fights-key-trendline-near-20k-as-us-dollar-index-hits-new-20-year-high,14.07.2022 15:05
29,https://es.cointelegraph.com/news/hyosung-america-makes-bitcoin-purchasing-app-available-to-175-000-atms,14.07.2022 13:35
30,https://es.cointelegraph.com/news/how-bitcoin-s-strong-correlation-to-stocks-could-trigger-a-drop-to-8-000,14.07.2022 00:05
31,https://es.cointelegraph.com/news/bitcoin-price-where-is-the-bottom,13.07.2022 22:05
32,https://es.cointelegraph.com/news/why-alex-tapscott-quit-his-high-paying-job-to-write-a-book-about-bitcoin,13.07.2022 22:05
33,https://es.cointelegraph.com/news/3-reasons-why-bitcoin-is-struggling-to-flip-20k-to-support,13.07.2022 21:35
34,https://es.cointelegraph.com/news/brazil-beams-bitcoin-from-space-a-case-for-btc-satellite-nodes,13.07.2022 18:05
35,https://es.cointelegraph.com/news/institutional-investor-sentiment-about-eth-improves-as-merge-approaches,13.07.2022 18:05
36,https://es.cointelegraph.com/news/ethereum-price-risks-bear-flag-breakdown-20-drop-against-bitcoin,13.07.2022 17:06
37,https://es.cointelegraph.com/news/bitcoin-circles-20k-pre-cpi-amid-warning-fed-risks-blowing-up-economy,13.07.2022 17:06
38,https://es.cointelegraph.com/news/dogecoin-misses-bullish-target-after-elon-musk-snubs-twitter-what-s-next-for-doge-price,13.07.2022 17:06
39,https://es.cointelegraph.com/news/bitcoin-tanks-on-highest-cpi-data-since-1981-as-btc-price-dips-under-19k,13.07.2022 17:05
40,https://es.cointelegraph.com/news/bitcoin-to-make-new-all-time-highs-within-24-months-coinshares-cso,13.07.2022 17:05
41,https://es.cointelegraph.com/news/argentine-governor-wants-to-use-digital-currencies-to-fight-tax-evasion,13.07.2022 15:35
42,https://es.cointelegraph.com/news/sec-extends-window-to-decide-on-ark-21shares-spot-bitcoin-etf-to-august,13.07.2022 01:35
43,https://es.cointelegraph.com/news/animoca-brands-raises-75m-to-advance-open-metaverse-concept,12.07.2022 23:35
44,https://es.cointelegraph.com/news/sri-lanka-central-bank-reiterates-crypto-warning-following-protestors-seizing-president-s-residence,12.07.2022 23:35
45,https://es.cointelegraph.com/news/panama-hosted-update-discussions-and-use-cases-on-bitcoin-blockchain-and-cryptocurrencies,12.07.2022 22:05
46,https://es.cointelegraph.com/news/3ac-co-founder-returns-to-twitter-blames-liquidators-for-baiting,12.07.2022 21:35
47,https://es.cointelegraph.com/news/very-small-chance-btc-price-could-hit-24k-says-trader-as-us-dollar-cools,12.07.2022 20:35
48,https://es.cointelegraph.com/news/bitcoin-miner-prices-will-continue-to-fall-f2pool-exec-predicts,12.07.2022 18:35
49,https://es.cointelegraph.com/news/the-price-of-a-bitcoin-in-argentina-is-around-six-million-pesos,12.07.2022 18:05
50,https://es.cointelegraph.com/news/ethereum-co-founder-responds-to-pos-critics-amid-upcoming-merge,12.07.2022 17:35
51,https://es.cointelegraph.com/news/swiss-post-s-banking-arm-developing-in-house-crypto-custody-platform,12.07.2022 17:35
52,https://es.cointelegraph.com/news/bitcoin-price-indicator-that-marked-2015-and-2018-bottoms-is-flashing,12.07.2022 17:35
53,https://es.cointelegraph.com/news/the-uk-s-largest-bitcoin-conference-comes-to-scotland,12.07.2022 16:35
54,https://es.cointelegraph.com/news/bitcoin-price-hits-7-day-low-as-us-warns-of-highly-elevated-cpi-data,12.07.2022 15:35
55,https://es.cointelegraph.com/news/capitulation-ongoing-but-markets-not-at-the-bottom-yet-glassnode,12.07.2022 13:35
56,https://es.cointelegraph.com/news/analysts-say-bitcoin-range-consolidation-is-most-likely-until-a-macro-catalyst-emerges,12.07.2022 01:35
57,https://es.cointelegraph.com/news/crypto-miners-in-texas-shut-down-operations-as-state-experiences-extreme-heat-wave,12.07.2022 01:35
58,https://es.cointelegraph.com/news/voyager-can-t-guarantee-all-customers-will-receive-their-crypto-under-proposed-recovery-plan,11.07.2022 22:35
59,https://es.cointelegraph.com/news/bitcoin-risks-new-lows-as-20k-looms-amid-dollar-euro-parity,11.07.2022 21:35
60,https://es.cointelegraph.com/news/why-are-bankers-so-hated,11.07.2022 20:35
61,https://es.cointelegraph.com/news/pos-gives-ethereum-the-economic-structure-to-overtake-bitcoin-says-defi-researcher,11.07.2022 18:05
62,https://es.cointelegraph.com/news/grayscale-legal-officer-says-bitcoin-etf-litigation-could-take-two-years,11.07.2022 17:05
63,https://es.cointelegraph.com/news/launches-reality-show-called-the-house-of-bitcoin-with-a-focus-on-cryptocurrencies,11.07.2022 16:05
64,https://es.cointelegraph.com/news/us-inflation-data-will-be-messy-5-things-to-know-in-bitcoin-this-week,11.07.2022 15:05
65,https://es.cointelegraph.com/news/a-brief-history-of-bitcoin-crashes-and-bear-markets-2009-2022,11.07.2022 08:35
66,https://es.cointelegraph.com/news/top-5-cryptocurrencies-to-watch-this-week-btc-uni-icp-aave-qnt,11.07.2022 04:05
67,https://es.cointelegraph.com/news/bitcoin-eyes-best-weekly-gains-in-3-months-as-btc-price-slips-below-21k,10.07.2022 22:05
68,https://es.cointelegraph.com/news/btc-bull-michael-saylor-ethereum-is-obviously-a-security,10.07.2022 20:05
69,https://es.cointelegraph.com/news/us-dominates-crypto-atms-installations-and-btc-hash-rate-worldwide,10.07.2022 18:35
70,https://es.cointelegraph.com/news/build-business-an-outlook-on-the-web3-industry-during-the-downtrend,10.07.2022 06:35
71,https://es.cointelegraph.com/news/vc-roundup-web5-metaverse-sports-and-bitcoin-monetization-startups-generate-buzz,10.07.2022 02:05
72,https://es.cointelegraph.com/news/global-gpu-price-drops-to-compensate-for-falling-bitcoin-mining-revenue,10.07.2022 00:35
73,https://es.cointelegraph.com/news/bitcoin-cheap-at-20k-as-btc-price-to-wallet-ratio-mimics-2013,09.07.2022 18:35
74,https://es.cointelegraph.com/news/crypto-biz-crypto-broker-goes-bankrupt-bitcoin-miner-capitulates-and-china-vc-funding-soars,09.07.2022 02:06
75,https://es.cointelegraph.com/news/5-events-that-could-put-an-end-to-the-current-crypto-bear-market,09.07.2022 02:05
76,https://es.cointelegraph.com/news/2-key-ethereum-derivatives-metrics-suggest-that-880-was-eth-s-bottom,09.07.2022 02:05
77,https://es.cointelegraph.com/news/trading-different-says-the-bitcoin-price-seems-to-be-looking-for-a-consolidation-level-to-sideways,09.07.2022 00:05
78,https://es.cointelegraph.com/news/tether-liquidates-celsius-position-with-no-losses-to-stablecoin-issuer,08.07.2022 21:35
79,https://es.cointelegraph.com/news/mind-games-bitcoin-education-at-an-escape-room-in-lebanon,08.07.2022 19:35
80,https://es.cointelegraph.com/news/bitcoin-price-builds-best-weekly-candle-since-march-despite-new-dxy-peak,08.07.2022 17:35
81,https://es.cointelegraph.com/news/this-biblical-bitcoin-pattern-suggests-btc-price-can-rise-30-by-october,08.07.2022 17:35
82,https://es.cointelegraph.com/news/celsius-moved-529m-worth-of-wbtc-to-ftx-exchange-should-we-be-worried,08.07.2022 16:36
83,https://es.cointelegraph.com/news/bitfinex-says-that-bitcoin-has-been-strengthened,08.07.2022 16:35
84,https://es.cointelegraph.com/news/marathon-q2-bitcoin-production-down-44-as-fleet-remains-crippled,08.07.2022 14:05
85,https://es.cointelegraph.com/news/bitcoin-price-surges-to-21-8k-but-analysts-warn-that-the-move-could-be-a-fakeout,08.07.2022 05:05
86,https://es.cointelegraph.com/news/reddit-announces-new-blockchain-backed-collectible-avatars,08.07.2022 04:35
87,https://es.cointelegraph.com/news/bitcoin-miners-sell-their-hodlings-and-asic-prices-keep-dropping-what-s-next-for-the-industry,08.07.2022 04:35
88,https://es.cointelegraph.com/news/fdic-reportedly-scrutinizing-voyager-digital-marketing-complex-sbf-ties-come-to-light,08.07.2022 04:05
89,https://es.cointelegraph.com/news/survey-shows-55-of-crypto-investors-chose-to-hodl-as-bitcoin-and-altcoin-prices-collapsed,08.07.2022 02:05
90,https://es.cointelegraph.com/news/another-miner-cashes-in-argo-blockchain-reports-selling-637-btc-to-pay-debts,08.07.2022 00:35
91,https://es.cointelegraph.com/news/bitcoin-traders-expect-a-generational-bottom-but-btc-derivatives-data-disagrees,08.07.2022 00:05
92,https://es.cointelegraph.com/news/what-effect-could-an-economic-downturn-have-on-the-price-of-bitcoin,07.07.2022 23:05
93,https://es.cointelegraph.com/news/bitcoin-faces-mt-gox-black-swan-as-trustee-prepares-to-unlock-150k-btc,07.07.2022 22:35
94,https://es.cointelegraph.com/news/bitcoin-price-clings-to-20k-as-bollinger-bands-close-in-for-volatility,07.07.2022 21:35
95,https://es.cointelegraph.com/news/satoshi-milkshake-experiment-shows-kids-can-hodl-bitcoin-too,07.07.2022 20:35
96,https://es.cointelegraph.com/news/bloomberg-analyst-tips-bullish-btc-recovery-in-next-six-months,07.07.2022 18:05
97,https://es.cointelegraph.com/news/fragmented-crypto-regulation-may-ruin-the-libertarian-dream,07.07.2022 17:35
98,https://es.cointelegraph.com/news/bitcoin-vs-bank-nayib-bukele-reminds-peter-schiff-why-banks-can-t-trump-btc,07.07.2022 17:05
99,https://es.cointelegraph.com/news/wsj-editorial-slams-sec-s-bewildering-bitcoin-etf-denials,07.07.2022 16:35
100,https://es.cointelegraph.com/news/white-knight-ftx-founder-says-he-has-a-few-billions-to-support-cryptocurrencies,07.07.2022 15:35
101,https://es.cointelegraph.com/news/key-bitcoin-chart-will-confirm-bottom-is-in-by-july-15-says-trader,07.07.2022 14:35
102,https://es.cointelegraph.com/news/bitcoin-price-holds-20k-but-analysts-say-expect-6-months-of-sideways-price-action,07.07.2022 03:35
103,https://es.cointelegraph.com/news/coming-to-texas-riot-blockchain-announces-plans-to-move-ny-miners-to-lone-star-state,07.07.2022 01:35
104,https://es.cointelegraph.com/news/what-could-be-the-price-of-bitcoin-by-the-end-of-the-year,06.07.2022 23:35
105,https://es.cointelegraph.com/news/bear-market-delivery-ohio-guy-rejoins-doordash-to-buy-more-bitcoin,06.07.2022 21:05
106,https://es.cointelegraph.com/news/el-salvador-s-bitcoin-wallet-chivo-scores-52m-in-remittances-in-2022,06.07.2022 20:35
107,https://es.cointelegraph.com/news/world-s-first-short-bitcoin-etf-sees-exposure-explode-300-in-days,06.07.2022 20:05
108,https://es.cointelegraph.com/news/according-to-market-analysts-at-bitfinex-cryptocurrencies-will-become-a-major-market,06.07.2022 19:36
109,https://es.cointelegraph.com/news/bitcoin-mining-stocks-rebound-sharply-despite-a-70-drop-in-btc-miners-revenue,06.07.2022 18:35
110,https://es.cointelegraph.com/news/bitalks-realizaran-un-evento-sobre-blockchain-y-criptomonedas-en-bilbao-espana,06.07.2022 18:35
111,https://es.cointelegraph.com/news/bitcoin-price-approaches-potential-springboard-to-23k-as-dxy-cools-surge,06.07.2022 17:35
112,https://es.cointelegraph.com/news/risk-profile-of-crypto-markets-similar-to-oil-and-tech-coinbase,06.07.2022 16:35
113,https://es.cointelegraph.com/news/pennywise-crypto-stealing-malware-spreads-through-youtube,06.07.2022 14:05
114,https://es.cointelegraph.com/news/makerdao-voting-on-collaborating-with-a-traditional-bank,06.07.2022 13:05
115,https://es.cointelegraph.com/news/core-scientific-sold-167m-worth-of-bitcoin-holdings-in-june,06.07.2022 02:35
116,https://es.cointelegraph.com/news/bitcoin-price-swings-7-5-during-intraday-trading-as-us-recession-concerns-mount,06.07.2022 02:05
117,https://es.cointelegraph.com/news/bitcoin-exchange-outflows-surge-as-not-your-keys-not-your-crypto-comes-back-into-fashion,06.07.2022 01:35
118,https://es.cointelegraph.com/news/with-the-bear-market-in-full-throttle-crypto-derivatives-retain-their-popularity,05.07.2022 22:05
119,https://es.cointelegraph.com/news/kraken-seeks-largest-share-of-cryptocurrency-labor-market,05.07.2022 21:05
120,https://es.cointelegraph.com/news/bitcoin-faces-fresh-pressure-as-us-dollar-crushes-gold-risk-assets,05.07.2022 19:05
121,https://es.cointelegraph.com/news/dutch-university-set-to-recover-more-than-twice-the-paid-btc-ransom-in-2019,05.07.2022 18:05
122,https://es.cointelegraph.com/news/bitcoin-tourists-have-been-purged-only-hodlers-remain-glassnode,05.07.2022 17:35
123,https://es.cointelegraph.com/news/african-infrastructure-firm-lands-150m-to-launch-crypto-water-token,05.07.2022 17:05
124,https://es.cointelegraph.com/news/crypto-community-eyeing-three-macro-events-to-tip-crypto-scales-in-july,05.07.2022 16:05
125,https://es.cointelegraph.com/news/ark-invest-neutral-to-positive-on-bitcoin-price-as-analysts-await-capitulation,05.07.2022 15:05
126,https://es.cointelegraph.com/news/institutional-investors-shorting-bitcoin-made-up-80-of-weekly-inflows,05.07.2022 14:05
127,https://es.cointelegraph.com/news/bitcoin-price-shows-recovery-in-the-main-latam-markets-in-argentina-it-rebounds-up-to-15,05.07.2022 02:05
128,https://es.cointelegraph.com/news/celsius-pays-down-143m-in-dai-loans-since-july-1,05.07.2022 01:05
129,https://es.cointelegraph.com/news/singapore-s-financial-watchdog-considers-further-restrictions-on-crypto,04.07.2022 21:35
130,https://es.cointelegraph.com/news/bitcoin-price-spikes-to-20k-as-whale-bought-btc-confirms-support,04.07.2022 20:35
131,https://es.cointelegraph.com/news/multichain-adds-rootstock-to-its-blockchain-bridge-ecosystem,04.07.2022 19:35
132,https://es.cointelegraph.com/news/the-uk-bitcoin-adventure-shows-btc-is-a-family-affair,04.07.2022 19:06
133,https://es.cointelegraph.com/news/cryptoland-and-its-lehman-brothers-moment-werent-we-supposed-to-be-different,04.07.2022 18:06
134,https://es.cointelegraph.com/news/peter-schiff-s-bank-closure-strengthens-bitcoin-case-for-financial-freedom,04.07.2022 18:05
135,https://es.cointelegraph.com/news/sango-crypto-hub-goes-live-in-the-central-african-republic,04.07.2022 18:05
136,https://es.cointelegraph.com/news/wild-ride-lower-for-btc-5-things-to-know-in-bitcoin-this-week,04.07.2022 15:05
137,https://es.cointelegraph.com/news/how-to-earn-crypto-passive-income-with-forks-and-airdrops,04.07.2022 01:06
138,https://es.cointelegraph.com/news/top-5-cryptocurrencies-to-watch-this-week-btc-shib-matic-atom-ape,04.07.2022 01:05
139,https://es.cointelegraph.com/news/bitcoin-addresses-in-loss-hit-all-time-high-amid-18k-btc-price-target,03.07.2022 21:05
140,https://es.cointelegraph.com/news/bitcoin-s-inverse-correlation-with-us-dollar-hits-17-month-highs-what-s-next-for-btc,03.07.2022 20:05
141,https://es.cointelegraph.com/news/mexican-senator-wants-bitcoin-to-become-legal-currency,03.07.2022 14:05
142,https://es.cointelegraph.com/news/the-decoupling-manifesto-mapping-the-next-phase-of-the-crypto-journey,03.07.2022 01:05
143,https://es.cointelegraph.com/news/bitcoin-indicator-that-nailed-all-bottoms-predicts-15-6k-btc-price-floor,02.07.2022 20:05
144,https://es.cointelegraph.com/news/nft-hype-evidently-dead-as-daily-sales-in-june-2022-dip-to-one-year-lows,02.07.2022 18:35
145,https://es.cointelegraph.com/news/bitcoin-will-see-long-bear-market-says-trader-with-btc-price-stuck-at-19k,02.07.2022 16:35
146,https://es.cointelegraph.com/news/bear-market-so-what-says-world-chess-champion-garry-kasparov,02.07.2022 01:05
147,https://es.cointelegraph.com/news/bitcoin-trader-says-expect-more-chop-downside-then-sideways-price-action-for-btc-this-summer,02.07.2022 00:35
148,https://es.cointelegraph.com/news/june-gloom-takes-on-a-new-meaning-in-another-2022-down-month,01.07.2022 21:35
149,https://es.cointelegraph.com/news/deutsche-bank-analysts-see-bitcoin-recovering-to-28k-by-december,01.07.2022 19:05
150,https://es.cointelegraph.com/news/hundreds-of-bored-ape-owners-sign-up-to-hire-out-their-nfts-to-brands,01.07.2022 19:05
151,https://es.cointelegraph.com/news/what-bear-market-this-token-is-quietly-making-new-highs-up-300-against-bitcoin-in-2022,01.07.2022 18:05
152,https://es.cointelegraph.com/news/not-giving-up-vaneck-refiles-with-sec-for-spot-bitcoin-etf,01.07.2022 17:35
153,https://es.cointelegraph.com/news/worst-quarter-in-11-years-as-bitcoin-price-and-activity-plunges,01.07.2022 17:35
154,https://es.cointelegraph.com/news/self-custody-is-key-during-extreme-market-conditions-here-s-what-experts-say,01.07.2022 17:35
155,https://es.cointelegraph.com/news/leo-elduayen-ceo-of-koinbanx-bitcoins-energy-consumption-is-not-excessive-compared-to-the-traditional-system,01.07.2022 16:35
156,https://es.cointelegraph.com/news/bnktothefuture-unveils-3-proposals-to-rescue-celsius-from-oblivion,01.07.2022 16:05
157,https://es.cointelegraph.com/news/bitcoin-june-close-barely-beats-2017-high-as-coinbase-premium-flips-positive,01.07.2022 14:05
158,https://es.cointelegraph.com/news/they-ensure-that-the-leaders-of-the-traditional-financial-system-have-been-able-to-minimize-their-environmental-impact,01.07.2022 02:35
159,https://es.cointelegraph.com/news/el-salvador-increased-investments-in-renewable-energy-for-bitcoin-mining,01.07.2022 01:05
160,https://es.cointelegraph.com/news/cryptoqueen-ruja-ignatova-makes-fbi-s-ten-most-wanted-list,01.07.2022 00:35
161,https://es.cointelegraph.com/news/cftc-brings-1-7b-fraud-case-involving-bitcoin-against-south-african-national,30.06.2022 22:05
162,https://es.cointelegraph.com/news/reserve-bank-of-india-ranks-crypto-near-the-bottom-of-systemic-risks-despite-harsh-criticism,30.06.2022 21:05
163,https://es.cointelegraph.com/news/bitfinex-market-analysts-inflation-rising-interest-rates-and-recession-cast-a-dark-shadow-over-financial-markets,30.06.2022 20:35
164,https://es.cointelegraph.com/news/grayscale-legal-challenge-to-sec-sparks-response-from-the-community,30.06.2022 20:05
165,https://es.cointelegraph.com/news/basel-committee-wants-to-limit-banks-digital-asset-exposure-to-just-1-of-equity,30.06.2022 20:05
166,https://es.cointelegraph.com/news/bitcoin-nears-worst-monthly-losses-since-2011-with-btc-price-at-19k,30.06.2022 19:35
167,https://es.cointelegraph.com/news/singapore-reprimands-3ac-for-providing-false-information,30.06.2022 19:05
168,https://es.cointelegraph.com/news/opensea-data-breach-causes-massive-leak-of-users-email-addresses,30.06.2022 19:05
169,https://es.cointelegraph.com/news/new-spot-bitcoin-etf-launched-at-euronext-amsterdam-exchange,30.06.2022 18:05
170,https://es.cointelegraph.com/news/80-000-bitcoin-millionaires-wiped-out-in-the-great-crypto-crash-of-2022,30.06.2022 17:35
171,https://es.cointelegraph.com/news/when-paying-with-cryptocurrencies-brazilians-prefer-to-use-bitcoin-over-all-others,30.06.2022 17:05
172,https://es.cointelegraph.com/news/can-t-stop-won-t-stop-bitcoin-hodlers-buy-the-dip-at-20k-btc,30.06.2022 15:05
173,https://es.cointelegraph.com/news/bitcoin-price-drops-3-to-ten-day-lows-as-ethereum-inches-close-to-1k,30.06.2022 14:05
174,https://es.cointelegraph.com/news/breaking-grayscale-launches-legal-challenge-to-bitcoin-spot-etf-rejection,30.06.2022 05:35
175,https://es.cointelegraph.com/news/bitcoin-clings-to-20k-as-analysts-warn-of-a-long-bumpy-ride-for-the-foreseeable-future,30.06.2022 05:05
176,https://es.cointelegraph.com/news/nydig-study-calculates-the-value-of-regulation-worldwide-in-terms-of-btc-price-gains,29.06.2022 23:35
177,https://es.cointelegraph.com/news/it-s-time-to-refocus-on-crypto-infrastructure-coinshares-cso-says,29.06.2022 21:35
178,https://es.cointelegraph.com/news/bitcoin-holds-20k-as-ecb-warns-inflation-may-never-return-to-pre-covid-lows,29.06.2022 20:35
179,https://es.cointelegraph.com/news/bitcoin-lightning-network-developer-updates-node-software-with-taproot-support,29.06.2022 19:35
180,https://es.cointelegraph.com/news/microstrategy-scoops-up-480-bitcoin-amid-market-slump,29.06.2022 19:35
181,https://es.cointelegraph.com/news/21shares-responds-to-bear-market-with-crypto-winter-etp,29.06.2022 19:35
182,https://es.cointelegraph.com/news/bitcoin-advocate-criticized-for-backing-wallet-authentication-project,29.06.2022 18:05
183,https://es.cointelegraph.com/news/no-flexing-for-bitcoin-cash-users-as-bch-loses-98-against-bitcoin,29.06.2022 17:05
184,https://es.cointelegraph.com/news/regulatory-uncertainty-creates-rash-of-novel-lawsuits-legal-experts,29.06.2022 17:05
185,https://es.cointelegraph.com/news/battle-hardened-ronin-bridge-to-axie-reopens-following-600m-hack,29.06.2022 15:05
186,https://es.cointelegraph.com/news/75-of-marathon-s-mining-fleet-still-offline-two-weeks-after-huge-storm,29.06.2022 14:05
187,https://es.cointelegraph.com/news/bitcoin-price-limps-under-20k-as-asia-extends-global-stocks-weakness,29.06.2022 13:05
188,https://es.cointelegraph.com/news/roger-ver-denies-coinflex-ceo-s-claims-he-owes-firm-47m-usdc,29.06.2022 02:35
189,https://es.cointelegraph.com/news/key-bitcoin-price-metrics-say-btc-bottomed-but-traders-still-fear-a-drop-to-10k,29.06.2022 02:05
190,https://es.cointelegraph.com/news/bitcoin-miner-mawson-to-defer-all-major-capital-expenditures-until-market-conditions-normalize,29.06.2022 02:05
191,https://es.cointelegraph.com/news/switzerland-based-crypto-mining-firm-expands-operations-to-texas,29.06.2022 00:05
192,https://es.cointelegraph.com/news/what-does-warren-buffett-really-say-about-bitcoin,29.06.2022 00:05
193,https://es.cointelegraph.com/news/bitcoin-s-bottom-might-not-be-in-but-miners-say-it-has-always-made-gains-over-any-4-year-period,28.06.2022 22:35
194,https://es.cointelegraph.com/news/bitcoin-mining-revenue-mirrors-2021-lows-right-before-btc-breached-69k,28.06.2022 19:36
195,https://es.cointelegraph.com/news/uzbekistan-warms-up-to-bitcoin-mining-but-there-s-a-catch,28.06.2022 19:36
196,https://es.cointelegraph.com/news/not-the-best-week-for-crypto-lending-law-decoded-june-20-27,28.06.2022 19:35
197,https://es.cointelegraph.com/news/different-this-time-almost-all-bitcoin-metrics-are-now-hinting-at-a-price-bottom,28.06.2022 19:35
198,https://es.cointelegraph.com/news/3-charts-showing-this-bitcoin-price-drop-is-unlike-summer-2021,28.06.2022 19:05
199,https://es.cointelegraph.com/news/compass-mining-loses-facility-after-allegedly-failing-to-pay-power-bill,28.06.2022 18:35
200,https://es.cointelegraph.com/news/community-reacts-after-sec-s-gensler-affirms-btc-s-commodity-status,28.06.2022 13:35
201,https://es.cointelegraph.com/news/central-african-republic-president-launches-crypto-initiative-following-bitcoin-adoption,28.06.2022 01:05
202,https://es.cointelegraph.com/news/crypto-exchange-ftx-is-looking-into-acquiring-robinhood-report,28.06.2022 00:35
203,https://es.cointelegraph.com/news/final-capitulation-5-reasons-why-bitcoin-could-bottom-at-10-000,28.06.2022 00:35
204,https://es.cointelegraph.com/news/crypto-is-just-like-the-end-of-the-90s-with-the-internet-bubble-says-hodl-ceo-maurice-mureau,28.06.2022 00:35
205,https://es.cointelegraph.com/news/grayscale-reports-99-of-sec-comment-letters-support-spot-bitcoin-etf,28.06.2022 00:05
206,https://es.cointelegraph.com/news/bitcoin-s-short-term-price-prospects-slightly-improved-but-most-traders-are-far-from-optimistic,27.06.2022 23:35
207,https://es.cointelegraph.com/news/terra-s-luna2-skyrockets-70-in-nine-days-despite-persistent-sell-off-risks,27.06.2022 21:35
208,https://es.cointelegraph.com/news/kutxabank-will-support-the-bitcoin-and-blockchain-technology-masters-degree-at-the-university-of-the-basque-country,27.06.2022 20:35
209,https://es.cointelegraph.com/news/bitcoin-price-dips-under-21k-while-exchanges-see-record-outflow-trend,27.06.2022 19:35
210,https://es.cointelegraph.com/news/voyager-digital-issues-notice-of-default-to-three-arrows-capital,27.06.2022 19:35
211,https://es.cointelegraph.com/news/2022-bear-market-has-been-the-worst-on-record-glassnode,27.06.2022 18:35
212,https://es.cointelegraph.com/news/china-s-bsn-chair-calls-bitcoin-ponzi-stablecoins-fine-if-regulated,27.06.2022 18:05
213,https://es.cointelegraph.com/news/swiss-national-bank-exec-regulators-may-favor-centralized-stablecoins-after-terra-crisis,27.06.2022 18:05
214,https://es.cointelegraph.com/news/google-users-think-btc-is-dead-5-things-to-know-in-bitcoin-this-week,27.06.2022 14:35
215,https://es.cointelegraph.com/news/top-5-cryptocurrencies-to-watch-this-week-btc-uni-xlm-theta-hnt,27.06.2022 00:05
216,https://es.cointelegraph.com/news/btc-price-tops-10-day-highs-as-bitcoin-whale-demand-sees-huge-spike,26.06.2022 20:05
